;DS;OF;EF;IoU;Sn;Sp;Acc;AO;FPR;FNR;MA;MAPE;Rerr;TP;TN;FP;FN;MAPE2;Rerr2;PSNR;PSNR3;PSNR2;brain ID;slice ID;alg;params;time(ms);gtArea;error
52;0.9498900024443901;0.939782345828295;0.03893591293833132;0.904562383612663;0.939782345828295;0.9876191940941249;0.9760779508722796;0.904562383612663;0.012380805905875116;0.06021765417170496;0.023922049127720404;0.02128174123337364;-0.005134488593266818;3886.0;12843.0;161.0;249.0;0.02128174123337364;-0.0015277777777777779;21.476386267034762;-25.112621307373047;16.21201622060476;0;83;enhanced div;{};41.7009;4135;
53;0.9487955453334947;0.9368874013865647;0.038010996892182645;0.902579456471672;0.9368874013865647;0.9876293472341088;0.9751702277529937;0.902579456471672;0.012370652765891232;0.06311259861343534;0.02482977224700634;0.02510160172125269;-0.006163418642873914;3919.0;12694.0;159.0;264.0;0.02510160172125269;-0.0018229166666666667;21.340821160481696;-25.764856338500977;16.05027264026669;0;84;enhanced div;{};63.9743;4183;
54;0.9366278325438484;0.8972283541819965;0.018641157714005395;0.8808090536961233;0.8972283541819965;0.9940837614821735;0.9707498670448502;0.8808090536961233;0.005916238517826561;0.10277164581800344;0.029250132955149798;0.08413048810399804;-0.020268273946699757;3658.0;12770.0;76.0;419.0;0.08413048810399804;-0.005954861111111111;20.658172844896434;-26.348676681518555;15.338721555114873;0;85;enhanced div;{};39.5012;4077;
55;0.939553752535497;0.9065762004175365;0.023225469728601254;0.8859984697781178;0.9065762004175365;0.9931332458915207;0.9733817662121121;0.8859984697781178;0.006866754108479284;0.09342379958246347;0.026618233787887812;0.0701983298538622;-0.016018579169892216;3474.0;12872.0;89.0;358.0;0.0701983298538622;-0.004670138888888889;21.101149602912756;-25.818553924560547;15.74820764850151;0;86;enhanced div;{};48.8864;3832;
56;0.8943631357774235;0.8127469054516724;0.00474058467210956;0.8089121887287025;0.8127469054516724;0.9986020503261882;0.9562766148863432;0.8089121887287025;0.0013979496738117428;0.18725309454832761;0.04372338511365681;0.18251250987621806;-0.04156420560187129;3086.0;12858.0;18.0;711.0;0.18251250987621806;-0.01203125;18.976949551052375;-27.993528366088867;13.592862218533845;0;87;enhanced div;{};39.4279;3797;
57;0.9480728051391863;0.9407702523240372;0.043824701195219126;0.9012722646310433;0.9407702523240372;0.9871123955322971;0.9765813616610333;0.9012722646310433;0.012887604467702882;0.05922974767596281;0.023418638338966683;0.015405046480743692;-0.0035007242877836795;3542.0;12638.0;165.0;223.0;0.015405046480743692;-0.0010069444444444444;21.71590757829005;-25.042659759521484;16.30438360291189;0;88;enhanced div;{};38.2614;3765;
58;0.933351885348546;0.8939232409381663;0.021588486140724946;0.8750326115314375;0.8939232409381663;0.9936250590272312;0.9708956130757078;0.8750326115314375;0.006374940972768771;0.10607675906183368;0.02910438692429214;0.08448827292110875;-0.01926114959290315;3354.0;12625.0;81.0;398.0;0.08448827292110875;-0.005503472222222222;20.800869700086487;-25.826261520385742;15.360415445736098;0;89;enhanced div;{};32.2287;3752;
59;0.949026108578533;0.9125929861849097;0.010626992561105207;0.9029968454258676;0.9125929861849097;0.9968160471225026;0.9773993997672566;0.9029968454258676;0.003183952877497413;0.08740701381509033;0.02260060023274331;0.07678002125398513;-0.017700741103693268;3435.0;12523.0;40.0;329.0;0.07678002125398513;-0.005017361111111111;21.933961172641517;-24.645044326782227;16.45880026591242;0;90;enhanced div;{};35.0115;3764;
60;0.9482517482517483;0.958981612446959;0.06364922206506365;0.901595744680851;0.958981612446959;0.982188093730209;0.9771138739407434;0.901595744680851;0.017811906269791008;0.04101838755304102;0.02288612605925651;0.02263083451202263;0.004948351580379786;3390.0;12407.0;225.0;145.0;0.02263083451202263;0.001388888888888889;21.92220759356217;-24.433815002441406;16.40427714248693;0;91;enhanced div;{};59.1504;3535;
61;0.9426265590608951;0.986183604544059;0.10623272950568008;0.8914793227865667;0.986183604544059;0.9728627450980392;0.9755731867308053;0.8914793227865667;0.027137254901960783;0.01381639545594105;0.024426813269194728;0.09241633404973902;0.018804273130505405;3212.0;12404.0;346.0;45.0;0.09241633404973902;0.005225694444444444;21.682457260273452;-24.61057472229004;16.121331875446703;0;92;enhanced div;{};54.4483;3257;
62;0.9540396710208031;0.9348925410872313;0.024968394437420986;0.9121184088806661;0.9348925410872313;0.9937623371496249;0.9819950723355866;0.9121184088806661;0.00623766285037505;0.06510745891276865;0.018004927664413417;0.04013906447534766;-0.00802324846800177;2958.0;12586.0;79.0;206.0;0.04013906447534766;-0.002204861111111111;23.055776234147018;-23.406641006469727;17.446086190863202;0;93;enhanced div;{};51.0784;3164;
63;0.952178880365595;0.9697473404255319;0.06715425531914894;0.9087227414330218;0.9697473404255319;0.9839822377289668;0.9812407964658428;0.9087227414330218;0.016017762271033225;0.030252659574468085;0.018759203534157116;0.036901595744680854;0.007106728983929829;2917.0;12409.0;202.0;91.0;0.036901595744680854;0.0019270833333333334;22.935548630691027;-23.69053840637207;17.267856045530895;0;94;enhanced div;{};34.3634;3008;
64;0.9146848494927656;0.9920634920634921;0.17712842712842713;0.8427827152926755;0.9920634920634921;0.9610996672476628;0.9666753280498895;0.8427827152926755;0.03890033275233719;0.007936507936507936;0.033324671950110435;0.1691919191919192;0.030466415486553204;2750.0;12131.0;491.0;22.0;0.1691919191919192;0.00814236111111111;20.503051183113957;-25.796627044677734;14.772341171116445;0;95;enhanced div;{};68.5086;2772;
65;0.9491817398794143;0.9624454148471616;0.06550218340611354;0.9032786885245901;0.9624454148471616;0.9883675843350136;0.9844583470530128;0.9032786885245901;0.011632415664986429;0.03755458515283843;0.015541652946987158;0.02794759825327511;0.00421468554494567;2204.0;12745.0;150.0;86.0;0.02794759825327511;0.0011111111111111111;23.875104804531055;-22.875198364257812;18.085027932841772;0;96;enhanced div;{};28.4772;2290;
66;0.9335644136337378;0.8903581267217631;0.017079889807162536;0.875406283856988;0.8903581267217631;0.9976422269546699;0.9846287509189333;0.875406283856988;0.0023577730453300883;0.10964187327823692;0.01537124908106663;0.09256198347107437;-0.011227694980953017;1616.0;13117.0;31.0;199.0;0.09256198347107437;-0.002916666666666667;23.986946474056193;-22.713668823242188;18.132908399190356;0;97;enhanced div;{};21.8354;1815;
67;0.9586626139817629;0.9426180514046623;0.023909145248057383;0.9206071220081729;0.9426180514046623;0.9969383849980865;0.9907721536165015;0.9206071220081729;0.0030616150019135095;0.05738194859533772;0.00922784638349844;0.03347280334728033;-0.003799701452028769;1577.0;13025.0;40.0;96.0;0.03347280334728033;-0.0009722222222222222;26.268835750529945;-20.355165481567383;20.34899643816555;0;98;enhanced div;{};21.1954;1673;
